Aethomys granti,ear length to notch,2
Aethomys granti,pes length,2
Aethomys granti,tail length,2
Aethomys hindei,body length,27
Aethomys hindei,body mass,29
Aethomys hindei,ear length to notch,27
Aethomys hindei,pes length,27
Aethomys hindei,tail length,27
Aethomys ineptus,body length,7
Aethomys ineptus,body mass,6
Aethomys ineptus,ear length to notch,7
Aethomys ineptus,pes length,7
Aethomys ineptus,tail length,7
Aethomys kaiseri,body length,4
Aethomys kaiseri,body mass,1
Aethomys kaiseri,ear length to notch,1
Aethomys kaiseri,pes length,1
Aethomys kaiseri,tail length,1
Aethosciurus poensis,body length,1
Aethosciurus poensis,ear length to notch,1
Aethosciurus poensis,pes length,1
Aethosciurus poensis,tail length,1
Agouti paca,body length,7
Agouti paca,body mass,3
Agouti paca,ear length to notch,6
Agouti paca,pes length,6
Agouti paca,tail length,6
Ailuropoda microta,body length,1
Ailurops ursinus,body length,2
Ailurops ursinus,body mass,1
Ailurops ursinus,ear length to notch,1
Ailurops ursinus,pes length,1
Ailurops ursinus,tail length,1
Ailurus fulgens,body length,14
Ailurus fulgens,body mass,7
Ailurus fulgens,ear length to notch,9
Ailurus fulgens,pes length,12
Ailurus fulgens,tail length,12
Akodon,body length,270
Akodon,body mass,198
Akodon,ear length to notch,242
Akodon,pes length,194
Akodon,tail length,254
Akodon Meyen,body length,1
Akodon aerosus,body length,56
Akodon aerosus,body mass,44
Akodon aerosus,ear length to notch,43
Akodon aerosus,pes length,44
Akodon aerosus,tail length,45
Akodon albiventer,body length,106
Akodon albiventer,body mass,84
Akodon albiventer,ear length to notch,86
Akodon albiventer,pes length,87
Akodon albiventer,tail length,88
Akodon alterus,body length,144
Akodon alterus,body mass,147
Akodon alterus,ear length to notch,142
Akodon alterus,pes length,143
Akodon alterus,tail length,143
Akodon azarae,body length,1031
Akodon azarae,body mass,102
Akodon azarae,ear length to notch,97
Akodon azarae,pes length,101
Akodon azarae,tail length,107
Akodon boliviensis,body length,99
Akodon boliviensis,body mass,64
Akodon boliviensis,ear length to notch,64
Akodon boliviensis,pes length,64
Akodon boliviensis,tail length,68
Akodon budini,body length,3
Akodon budini,body mass,2
Akodon budini,ear length to notch,2
Akodon budini,pes length,2
Akodon budini,tail length,2
Akodon canescens,body length,2
Akodon canescens,pes length,2
Akodon canescens,tail length,2
Akodon cursor,body length,11
Akodon cursor,body mass,11
Akodon cursor,ear length to notch,11
Akodon cursor,pes length,11
Akodon cursor,tail length,12
Akodon dayi,body length,79
Akodon dayi,body mass,54
Akodon dayi,ear length to notch,58
Akodon dayi,pes length,59
Akodon dayi,tail length,58
Akodon dolores,body length,148
Akodon dolores,body mass,137
Akodon dolores,ear length to notch,130
Akodon dolores,pes length,134
Akodon dolores,tail length,135
Akodon fumeus,body length,41
Akodon fumeus,body mass,28
Akodon fumeus,ear length to notch,28
Akodon fumeus,pes length,28
Akodon fumeus,tail length,28
Akodon gazzinii,body length,13
Akodon gazzinii,body mass,12
Akodon gazzinii,ear length to notch,13
Akodon gazzinii,pes length,13
Akodon gazzinii,tail length,13
Akodon hirtus,body length,1
Akodon hirtus,ear length to notch,1
Akodon hirtus,pes length,1
Akodon hirtus,tail length,1
Akodon iniscatus,body length,4
Akodon iniscatus,body mass,4
Akodon iniscatus,ear length to notch,4
Akodon iniscatus,pes length,4
Akodon iniscatus,tail length,4
Akodon kofordi,body length,5
Akodon kofordi,body mass,6
Akodon kofordi,ear length to notch,6
Akodon kofordi,pes length,6
Akodon kofordi,tail length,6
Akodon lasiurus,body length,2
Akodon lasiurus,body mass,2
Akodon lasiurus,ear length to notch,2
Akodon lasiurus,tail length,2
Akodon longipilis,body length,3
Akodon longipilis,body mass,1
Akodon longipilis,ear length to notch,1
Akodon longipilis,pes length,1
Akodon longipilis,tail length,1
Akodon lutescens,body length,134
Akodon lutescens,body mass,130
Akodon lutescens,ear length to notch,133
Akodon lutescens,pes length,133
Akodon lutescens,tail length,133
Akodon mimus,body length,122
Akodon mimus,body mass,57
Akodon mimus,ear length to notch,57
Akodon mimus,pes length,57
Akodon mimus,tail length,57
Akodon molinae,body length,11
Akodon molinae,body mass,11
Akodon molinae,ear length to notch,10
Akodon molinae,pes length,11
Akodon molinae,tail length,11
Akodon mollis,body length,22
Akodon mollis,body mass,21
Akodon mollis,ear length to notch,22
Akodon mollis,pes length,22
Akodon mollis,tail length,23
Akodon montensis,body length,72
Akodon montensis,body mass,69
Akodon montensis,ear length to notch,70
Akodon montensis,pes length,71
Akodon montensis,tail length,67
Akodon nigrita,body length,1
Akodon nigrita,ear length to notch,1
Akodon nigrita,tail length,1
Akodon nis,body length,4
Akodon nis,body mass,2
Akodon nis,ear length to notch,2
Akodon nis,pes length,2
Akodon nis,tail length,2
Akodon nitidus,body length,1
Akodon obscurus,body length,5
Akodon obscurus,ear length to notch,6
Akodon obscurus,tail length,6
Akodon oenos,body length,1
Akodon oenos,body mass,1
Akodon oenos,ear length to notch,1
Akodon oenos,pes length,1
Akodon oenos,tail length,1
Akodon olivaceus,body length,1
Akodon olivaceus,body mass,1
Akodon olivaceus,ear length to notch,1
Akodon olivaceus,pes length,1
Akodon olivaceus,tail length,1
Akodon puer,body length,95
Akodon puer,body mass,15
Akodon puer,ear length to notch,15
Akodon puer,pes length,15
Akodon puer,tail length,16
Akodon siberiae,body length,11
Akodon simulator,body length,358
Akodon simulator,body mass,305
Akodon simulator,ear length to notch,301
Akodon simulator,pes length,306
Akodon simulator,tail length,304
Akodon sylvanus,body length,3
Akodon sylvanus,body mass,2
Akodon sylvanus,ear length to notch,2
Akodon sylvanus,pes length,2
Akodon sylvanus,tail length,2
Akodon toba,body length,41
Akodon toba,body mass,28
Akodon toba,ear length to notch,28
Akodon toba,pes length,8
Akodon toba,tail length,29
Akodon tucumanensis,body length,175
Akodon tucumanensis,body mass,159
Akodon tucumanensis,ear length to notch,159
Akodon tucumanensis,pes length,159
Akodon tucumanensis,tail length,159
Akodon urichi,body length,3
Akodon urichi,body mass,2
Akodon urichi,ear length to notch,2
Akodon urichi,pes length,2
Akodon urichi,tail length,2
Akodon varius,body length,61
Akodon varius,body mass,11
Akodon varius,ear length to notch,11
Akodon varius,pes length,11
Akodon varius,tail length,11
Akodon viridescens,body length,40
Akodon viridescens,body mass,40
Akodon viridescens,ear length to notch,40
Akodon viridescens,pes length,40
Akodon viridescens,tail length,40
Akodon xanthorhinus,body length,5
Akodon xanthorhinus,body mass,3
Akodon xanthorhinus,ear length to notch,3
Akodon xanthorhinus,pes length,3
Akodon xanthorhinus,tail length,3
Alcelaphini (Brookes,body length,1
Alcelaphus buselaphus,body length,34
Alcelaphus buselaphus,body mass,2
Alcelaphus buselaphus,ear length to notch,2
Alcelaphus buselaphus,pes length,3
Alcelaphus buselaphus,tail length,3
Alcelaphus lichtensteini,body length,1
Alces,body length,2
Alces alces,body length,59
Alces alces,body mass,32
Alces alces,ear length to notch,11
Alces alces,pes length,12
Alces alces,tail length,37
Alces americanus,body length,1
Alces americanus,body mass,1
Allactaga,body length,1
Allactaga,body mass,1
Allactaga,ear length to notch,1
Allactaga,pes length,1
Allactaga,tail length,1
Allactaga balikunica,body length,55
Allactaga balikunica,body mass,55
Allactaga balikunica,ear length to notch,55
Allactaga balikunica,pes length,55
Allactaga balikunica,tail length,55
Allactaga bullata,body length,66
Allactaga bullata,body mass,67
Allactaga bullata,ear length to notch,66
Allactaga bullata,pes length,67
Allactaga bullata,tail length,67
Allactaga elater,body length,2
Allactaga elater,ear length to notch,1
Allactaga elater,pes length,1
Allactaga elater,tail length,1
Allactaga major,body length,1
Allactaga sibirica,body length,137
Allactaga sibirica,body mass,139
Allactaga sibirica,ear length to notch,138
Allactaga sibirica,pes length,139
Allactaga sibirica,tail length,139
Allenopithecus nigroviridis,body length,3
Allenopithecus nigroviridis,ear length to notch,1
Allenopithecus nigroviridis,pes length,1
Allenopithecus nigroviridis,tail length,1
Allocricetulus,body length,1
Allocricetulus,body mass,1
Allocricetulus,ear length to notch,1
Allocricetulus,pes length,1
Allocricetulus,tail length,1
Allocricetulus curtatus,body length,16
Allocricetulus curtatus,body mass,16
Allocricetulus curtatus,ear length to notch,16
Allocricetulus curtatus,pes length,16
Allocricetulus curtatus,tail length,16
Allocricetulus eversmanni,body length,1
Allocricetulus eversmanni,body mass,1
Allocricetulus eversmanni,ear length to notch,1
Allocricetulus eversmanni,pes length,1
Allocricetulus eversmanni,tail length,1
Allocricetus Schaub,body length,2
Alloptox minor,body length,1
Alopex,body length,1
Alopex,ear length to notch,1
Alopex,pes length,1
Alopex,tail length,1
Alopex lagopus,body length,135
Alopex lagopus,body mass,137
Alopex lagopus,ear length to notch,125
Alopex lagopus,pes length,136
Alopex lagopus,tail length,139
Alouatta,body length,3
Alouatta,body mass,1
Alouatta,ear length to notch,1
Alouatta,pes length,1
Alouatta,tail length,1
Alouatta Lacpde,,body length,1
Alouatta Lacpde,,ear length to notch,1
Alouatta Lacpde,,pes length,1
Alouatta Lacpde,,tail length,1
Alouatta belzebul,body length,1
Alouatta caraya,body length,2
Alouatta caraya,pes length,1
Alouatta caraya,tail length,2
Alouatta guariba,body length,1
Alouatta palliata,body length,18
Alouatta palliata,body mass,1
Alouatta palliata,ear length to notch,5
Alouatta palliata,pes length,11
Alouatta palliata,tail length,18
Alouatta pigra,body length,2
Alouatta pigra,pes length,1
Alouatta pigra,tail length,2
Alouatta seniculus,body length,29
Alouatta seniculus,body mass,2
Alouatta seniculus,ear length to notch,11
Alouatta seniculus,pes length,12
Alouatta seniculus,tail length,13
Alticola,body length,177
Alticola,body mass,174
Alticola,ear length to notch,177
Alticola,pes length,177
Alticola,tail length,177
Alticola argentatus,body length,10
Alticola argentatus,body mass,8
Alticola argentatus,ear length to notch,10
Alticola argentatus,pes length,10
Alticola argentatus,tail length,10
Alticola barakshin,body length,290
Alticola barakshin,body mass,292
Alticola barakshin,ear length to notch,289
Alticola barakshin,pes length,290
Alticola barakshin,tail length,289
Alticola lemminus,body length,62
Alticola lemminus,body mass,62
Alticola lemminus,ear length to notch,62
Alticola lemminus,pes length,62
Alticola lemminus,tail length,62
Alticola macrotis,body length,5
Alticola macrotis,body mass,4
Alticola macrotis,pes length,5
Alticola macrotis,tail length,5
Alticola roylei,body length,1
Alticola roylei,body mass,1
Alticola roylei,ear length to notch,1
Alticola roylei,pes length,1
Alticola roylei,tail length,1
Alticola semicanus,body length,30
Alticola semicanus,body mass,30
Alticola semicanus,ear length to notch,30
Alticola semicanus,pes length,30
Alticola semicanus,tail length,34
Alticola stoliczkanus,body length,5
Alticola stoliczkanus,ear length to notch,5
Alticola stoliczkanus,pes length,5
Alticola stoliczkanus,tail length,5
Alticola strelzowi,body length,115
Alticola strelzowi,body mass,113
Alticola strelzowi,ear length to notch,114
Alticola strelzowi,pes length,115
Alticola strelzowi,tail length,115
